GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
security-service,com.udacity.catpoint.security.application,DisplayPanel,138,0,0,0,24,0,6,0,6,0
security-service,com.udacity.catpoint.security.application,ImagePanel,168,0,6,0,42,0,9,0,6,0
security-service,com.udacity.catpoint.security.application,SensorPanel,236,0,10,0,53,0,13,0,8,0
security-service,com.udacity.catpoint.security.application,CatpointGui,77,0,0,0,18,0,2,0,2,0
security-service,com.udacity.catpoint.security.application,CatpointApp,12,0,0,0,4,0,3,0,3,0
security-service,com.udacity.catpoint.security.application,ControlPanel,130,0,2,0,27,0,11,0,10,0
security-service,com.udacity.catpoint.security.data,PretendDatabaseSecurityRepository,114,0,2,0,26,0,11,0,10,0
security-service,com.udacity.catpoint.security.data,PretendDatabaseSecurityRepository.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
security-service,com.udacity.catpoint.security.data,ArmingStatus,0,21,0,0,0,2,0,1,0,1
security-service,com.udacity.catpoint.security.data,AlarmStatus,0,21,0,0,0,2,0,1,0,1
security-service,com.udacity.catpoint.security.data,Sensor,31,50,4,0,7,14,7,6,5,6
security-service,com.udacity.catpoint.security.data,SensorType,0,21,0,0,0,2,0,1,0,1
security-service,com.udacity.catpoint.security.service,SecurityService,4,233,2,35,1,57,3,35,1,18
security-service,com.udacity.catpoint.security.service,StyleService,40,0,4,0,10,0,4,0,2,0
